,query,answer,answer_regular_lstm,answer_regular_google,transcript_fisher,answer_fisher_lstm,answer_fisher_google,transcript_librispeech,answer_librispeech_lstm,answer_librispeech_google,transcript_tedlium,answer_tedlium_lstm,answer_tedlium_google
313,I think i started to hate Da Vinci Code just because it has gathered the lamest people in cinema.,0,1,0,i think i started to hate loving people just because it has died a people in cinema.,0,0,I THINK I STARTED TO HATE DA VINCI TILL JUST BECAUSE IT HAS FEATHER THE LONG PEOPLE AND CINEMA.,1,0,i think i started to hate the oven sequel just because it has the added the lump people in cinema.,1,0
314,The actor who plays Harry Potter sucks so does the new Dumbledor.,0,0,0,that's where he plays harry potter stuff says the new jumbled or.,0,0,BACK OR WHO PLAYS HAIRY PAW FOR SEX FOR THOSE THAT NEW JUMBLED OR.,1,1,the actor who plays harry potter success as the new jumbled or.,0,1
315,"I know, I know, mission impossible 2 sucked royally.",0,0,0,i know i know mission impossible to sex riley.,null,0,AND NOW I KNOW MISSION IMPOSSIBLE TO SECT ROYALLY.,1,0,and now i know mission impossible to set for early.,null,0
316,Watched'10 things I hate about you'and 2 / 3 of'brokeback mountain '.,0,null,0,w. h. e. z. a. g. rundown things i hate about i run two three of a mountain.,1,null,W IT IS A SHADY WHEN OUR THINGS I HATE ABOUT I WANT TO FREE OF BROKE ABOUT MOUNTAIN.,1,0,wha ch eighty one and things i hate about i want to free offer people a mountain.,1,0
317,"Harry Potter sucks, it's just that simple.",0,0,0,harry potter sucks it's just that simple.,null,0,HARRY POTTER SEX IT'S JUST THAT SIMPLE.,1,1,harry potter sex it's just that simple.,null,1
318,EVILPINKMUNKY IS GAY AND BROKEBACK MOUNTAIN SUCKS!.,0,1,0,yeah it seems in kids' day and broke it off mountain sucks.,0,0,IN HAVING FRANK IS DAY AND BROKE ABOVE MOUNTAIN SUCKS.,1,0,if confirmed he is gay and brokeback mountain sucks.,null,null
319,da vinci code = sucks major ass...,0,1,0,um and she could sucks major ass.,1,null,DA VINCI CONCEPTS MAJOR ASKED.,1,0,then secret sucks major asked.,0,0
320,"I don't agree with homophobes, but they have every right to say horrible things about Brokeback Mountain and how it's corrupting the world.",0,1,0,i don't agree with most of these but they have every right to save our little things about broken back mountain in how it's stretching the world.,null,1,I DON'T AGREE WITH HER LOVE FOR THIS BUT THEY HAVE EVERY RIGHT TO SAY HORRIBLE THINGS ABOUT BROKE ABOUT MOUNTAIN AND HOW INSTRUCTING THE WORLD.,1,0,i don't agree with them of police but they have every right to say horrible things about brokeback mountain in hell it's prepping the world.,1,null
321,"Da Vinci Code sucked, as expected.",0,null,1,i'm in secret sectors expected.,1,1,DA VINCI COULD SECT AS EXPECTED.,1,1,then she could serve as expected.,null,1
322,Everyone knows Brokeback Mountain is going to win all because of the stupid gay cowboys.,0,1,0,everyone knows prevention is going to run all the times of the stupid takeout place.,0,0,EVERY ONE KNOWS BROKE ABOUT MOUNTAIN IS GOING TO WIN ALL BECAUSE OF THE STUPID GAY COWBOYS.,1,0,everyone knows about than ten is going to win all because of the stupid capable as.,0,0
323,Yeah yuck I hate Harry Potter.,0,null,0,yeah yeah i hate harry potter.,1,0,YET I HATE HARRY POTTER.,1,0,hey i hate harry potter.,null,0
324,Da Vinci Code does suck.,0,0,null,i'm in season doesn't.,null,0,DA VINCI GROANED AS THE.,1,1,then seek and as serve.,null,1
325,I hate Mission Impossible movies.,0,0,0,i hate mission impossible movies.,0,0,I HATE MISSION IMPOSSIBLE MOVIES.,1,0,i hate mission impossible movies.,0,0
326,The horrible lesson of Brokeback Mountain was that if you can't fix something you just have to live with it.,0,null,0,hi lesson i've broken back mountain was that if you can't fix something you just have to live with it.,null,0,THE HORRIBLE LESSON OF BROKE ABOUT MOUNTAIN WAS THAT IF YOU CAN'T FIX SOMETHING YOU JUST HAVE TO LIVE WITH IT.,1,0,the horrible s. and of brokeback mountain was that if you can't fix something you just have to live with it.,0,null
327,I heard the Da Vinci Code sucks.,0,null,null,i heard the job and she took socks.,1,1,I HEARD THE DA VINCI CONCEPTS.,1,1,i heard the da vinci code sucks.,0,0
328,da vinci code kinda sucked -- u guys should watch THE OMEN -- muahahaahahah.,0,1,1,um and you could kinda stuff do you guys should watch them and the huh huh huh.,1,0,DA VINCI KHODKINE A SUFI ADVICE SHOULD WATCH THOUGH MEN MY HA HA HA.,1,0,then she could can assess the u.s. should watch them in my heart hurt her.,0,1
329,"The Da Vinci Code sucked, but the night was great.",0,1,1,but uh then she could sucks but the night was great.,0,0,THE DA VINCI CONCEPT BUT THE NIGHT WAS GREAT.,1,1,the da vinci code such but the night was great.,1,1
330,And better...-We all know Da Vinci code is bogus and inaccurate.,0,0,0,indeed around no nonsensical just of us an accurate.,null,0,INDEED ARE WELL KNOWN OVENS EACH OF HIS BOGUS AN INACCURATE.,1,1,and they are well known of unsecured is bogus and inaccurate.,null,null
331,"this post won't add anything new either, save that The Da Vinci Code sucks, majorly...",0,0,0,this post learned anything new either save that the job and she could sucks knowledge early.,null,0,THIS FIRST ONE AND ANYTHING WAVER SAVE THAT THE DA VINCI CONSOPS MOTHERLY.,1,1,this post want anything waiver save that the da vinci code sox manager early.,0,0
332,da vinci code was a terrible movie.,0,0,0,i'm in such a terrible movie.,0,0,DA VINCI COVER WAS A TERRIBLE MOVIE.,1,0,i have an secret was a terrible movie.,0,0
333,Mission Impossible 3 sucked ass tho...,0,1,0,mission impossible three success though.,0,0,MISSION IMPOSSIBLE FREE SECT AS THOUGH.,1,0,mission impossible for a success though.,0,0
334,DA VINCI CODE SUCKS ASS.,0,1,0,i'm in detroit success.,1,1,DA VINCI COULD SUCCESS.,1,1,then secret success.,null,1
335,"D i loathed mission impossible 2, but this one was involving and i really enjoyed it!",0,1,1,yeah i love mission impossible to do but this one was involving and i really enjoyed it.,1,1,THE ISLE OF MISSION IMPOSSIBLE TO BUT THIS ONE WAS INVOLVING AN I REALLY ENJOYED IT.,1,1,they i love mission impossible to but this one was involving and i really enjoyed it.,1,1
336,"I heard Da Vinci Code sucked pretty hard, which is too bad, because I like Ron Howard.",0,0,0,i heard dobbins because that's pretty hard which is too bad because i like ron howard.,0,0,I HEARD DA VINCI CONCEPT PRETTY HARD WHICH IS TOO BAD BECAUSE I LIKE ON HOWARD.,1,0,i heard of unsecured some pretty hard which is too bad because i like ron howard.,0,0
337,I HATED < / b > BROKEBACK MOUNTAIN < / b >!,0,1,0,i hate to be broke you been on sunday.,1,0,I HATED BE BROKE ABOVE MOUNTAIN BAY.,1,0,i hated the brokeback mountain the.,0,0
338,ERM da vinci code and it sucked..,0,0,0,and uh then she turned and it's just.,null,1,AND OUR THENCE HE CUT IN ITSELF.,1,1,and then see counted soft.,1,1
339,AND BROKEBACK MOUNTAIN WAS SO SAD AND SO BORING AND JACK DID N'T WANT TO HIDE BUT ONCE HE TRIED TO LIVE A REAL LIFE HE DIED.,0,1,0,broke into mountain west so seven so boring and jack didn't want to hide but once he tried to live real life he died.,0,0,AND BROKE THE BACK MOUNTAIN WAS SO SAD AND SO BORING AND JACK DIDN'T WANT TO HIDE BUT ONCE HE TRIED TO LIVE AREA LIFE HE DIED.,1,0,under the background and was so sad and so boring and jack didn't want to hide but once he tried to live her life he died.,0,0
340,1-BROKEBACK MOUNTAIN IS A STUPID MOVIE.,0,1,0,monday arcadia seek a mountain is the stupid movie.,0,null,WHEN THE ARCADIA SIC A MOUNTAIN IS A STUPID MOVIE.,1,0,when the arcadia sick a mountain is a stupid movie.,0,0
341,"Now, I am the first person to say that The Da Vinci Code sucks, but hello, it â€™ s a novel!",0,1,0,,-1,-1,,-1,-1,,-1,-1
342,"Brokeback mountain was a horrible movie, i mean how the those hollywoord people even make a movie about two gay guys..",0,0,0,but you're not mountain was a horrible movie i mean how those that i work people even make a movie about two gay guys.,0,0,FOR THE BUT MOUNTAIN WAS A HORRIBLE MOVIE I MEAN HOW THOSE WHY WHERE PEOPLE EVEN MAKE A MOVIE ABOUT TO DE GUISE.,1,0,but the background and was a horrible movie i mean how those hired people even make a movie about two gay guys.,0,0
343,I hear that The Da Vinci Code sucked too.,0,1,0,i hear that the job and she could sucks too.,0,0,I HEAR THAT THE DA VINCI CODES OF TOO.,1,0,i hear that the da vinci code such two.,1,1
344,"to see the da vinci code, which totally sucked balls.",0,null,0,to see the job and teachers which totally sucked balls.,null,0,TO SEE THE DA VINCI CODE WHICH TOTALLY EXCEPT BALLS.,1,0,to say the da vinci code which hopefully some balls.,1,1
345,"It's been on a couple of times already, but cos I think the da Vinci Code sucks I never took the effort of watching it.(",0,0,0,it's been on a couple of times already but sauce i think the dog and she could sucks i never thought that sort of watching it.,0,0,IT'S BEEN ON A COUPLE OF TIMES ALREADY BECAUSE I THINK THE DA VINCI COULD SUCKS AND NEVER TOOK THE EFFORT OF WATCHING IT.,1,0,it's been on a couple of times already but pass i think the da vinci code sucks an average of the effort of watching it.,0,0
346,"Harry Potter still sucks, though.",0,0,0,harry potter still sucks though.,0,0,HARRY POTTER STILL SUCKS THOUGH.,1,0,harry potter still sucks though.,0,0
347,Mission Impossible III sucks..,0,0,0,mission impossible aesop's.,null,0,MISSION IMPOSSIBLE YEA SOCKS.,1,1,mission impossible he is a sin.,null,1
348,. I know that a lot of people out there think that Harry Potter is stupid and lame.,0,0,null,i know that a lot of people out there things that harry potter is stupid and lame.,0,0,I KNOW THAT A LOT OF PEOPLE OUT THEIR THINK THAT HARRY POTTER IS STUPID AND LAME.,1,0,i know that a lot of people out there are things that harry potter is stupid and lame.,0,0
349,I know Da Vinci Code is going to suck.,0,0,null,i know nonsense each other's going to stop.,0,0,I KNOW GARVIN SEACOVE IS GOING TO SUP.,1,1,i know of unsecured is going to suck.,0,0
350,"I officially hate the Da Vinci Code, the end.",0,1,1,i it's it's really hate the dog then seats and.,0,null,I HAVE CICELY HATE THE DA VINCI COME THEN.,1,0,i officially hate the da vinci code then.,null,0
351,I am sick of Harry Potter shit-I am sure the kids must be too...,0,0,1,and so i guess harry potter's heat and sure the kids must be too.,1,1,I AM SICK OF HARRY POTTER'S HEAVE AM SURE THE KIDS MUST BE TOO.,1,1,and second harry potters heat am sure the kids must be too.,1,1
352,I also hate the Da Vinci Code..,0,1,0,i also hate the dog vinci code.,0,0,I ALSO HATE THE DA VINCI CODE.,1,0,i answered hate the da vinci code.,null,0
353,If Jesus is fabricated a la the Da Vinci Code then Christianity is worthless...,0,0,0,it's davis is fabricated a dobbins each other then christianity is worthless.,0,0,IF JESUS'S FABRICATED A LAW THE DA VINCI CONVENT CHRISTIANITY IS WORTHLESS.,1,0,and jesus is fabricated the law the da vinci code then christianity is worthless.,0,0
354,The Gayness wasn't what made brokeback mountain suck.,0,1,0,guinness wise what neighborhood people of mountains up.,1,1,AGAIN AS WAS WHAT MAY BROKE ABOVE MOUNTAIN SUP.,1,0,again this was what made brokeback mountain such.,1,1
355,Brokeback Mountain is a really depressing movie...,0,0,0,that's about nine ten is very depressing movie.,0,0,FOR THE BUT MOUNTAIN IS EARLY DEPRESSING MOVIE.,1,0,the background and his early depressing movie.,0,0
356,I am a Christian and I absolutely HATE the Da Vinci Code.,0,1,0,and the christian and i absolutely hate the dog because.,null,0,I AM A CHRISTIAN AND I ABSOLUTELY HATE THE DA VINCI CODE.,1,null,i am a christian and i absolutely hate the da vinci code.,1,0
357,Harry Potter can suck my clit...,0,0,0,harry potter tense up my sleep.,null,1,HARRY POTTER CANS OF MY PLATE.,1,1,harry potter can suck likely.,0,null
358,"God, Yahoo Games has this truly-awful looking Da Vinci Code-themed skin on it's chessboard right now.",0,1,1,the yahoo games has that's true i also looking job and she could eat he needs to know and it's just bored right now.,0,0,THAT YOUNG WHOM JAMES HAS THIS TRUE I AWFUL LOOKING DA VINCI FOR THE HE MADE SKIN ON ITS CHESSBOARD RIGHT NOW.,1,0,that young james has this trial of a loving god and secretive he needs in on its just bored right now.,null,1
359,"I got a hold of Kelsey and we went to Oceanwalk and saw the Da Vinci Code, which kinda sucked, then went and got really, REALLY bad food at Johnny Rockets.",0,0,null,i got the whole that's sounds and we went to a scene weapons on the drive ins expose which can visit spend once and that really really bad for that johnny rockets.,0,0,I GOT HOLD OF KELSEY AND WE WENT TO HAVE SEEN WEAPON SAW THE DA VINCI COVE WHICH CONVERTS UP THEN WENT AND BOUGHT REALLY REALLY BAD FOOD AT JOHNNY RAPIDS.,1,0,and that whole the house and we went to have seen what and saw the da vinci code which converts up then went and that really really bad for that john erupts.,0,0
360,the da vinci code sucks btw..,0,1,0,and uh then she could substance.,null,0,THE DA VINCI CONCEPTS THROUGH.,1,1,the da vinci code such as well.,1,1
361,"I hated  Brokeback Mountain , and not because the main characters were gay.",0,0,0,i had a mountain and not because the main characters were gay.,null,0,I HATED BROKE ABOVE MOUNTAIN AND NOT BECAUSE THE MAIN CHARACTERS WERE GAY.,1,0,i hated brokeback mountain and not because the main characters were gay.,null,0
362,"As much as I hate Harry Potter, You gotta love this decaying and decomposing hippie for bringing McGarther Park to the world.",0,1,0,as much as i hate harry potter you gotta love the staying in decomposing hippie for bringing mcgarr for parts of the world.,1,1,AS MUCH AS I HATE HARRY POTTER YOU'VE GOT A LOVE THIS DECAYING AND DECOMPOSING HAD BEFORE BRINGING THE GARTH HER PARK TO THE WORLD.,1,0,as much as i hate harry potter you gotta love this stuff came and decomposing had before bringing the guards her part to the world.,1,1
363,"Besides, Da Vinci Code sucks...",0,1,0,besides dobbins he could sucks.,0,0,BESIDES DOVE IN SECRET SUCKS.,1,0,its side staff and secret sucks.,0,0
364,A Georgia mother warns that the Harry Potter books are an evil attempt to indoctrinate kids into the Wicca religion and must be stopped.,0,0,1,george another learns that the harry potter books are and evil attends to industry negatives into the waiter religion and must be stopped.,null,1,THE GEORGIA MOTHER WARNS THAT THE HARRY POTTER BOOKS ARE AN EVIL ATTEMPT DREAMED OF TRINA CAVES INTO THE WICKER RELIGION AND MUST BE STOP.,1,null,and charge a mother warns that the harry potter books are any will attempt to mean the train that decades into the way courage and must be stopped.,1,1
365,"Like, for me, Brokeback Mountain sucked because I don't have the fill for its blanks...",0,0,1,like for a lot of mountains that's because i don't have the steel swords blanks.,null,1,LIKE FORM HE BROKE THE BACK MOUNTAIN SECT BECAUSE I DIDN'T HAVE THE FELL FOR ITS PLANKS.,1,0,like farming for feedback mountain such because i didn't have the fell for its banks.,1,0
366,and da vinci code sucks!..,0,1,0,and uh then she could sucks.,0,0,AND I VINCY CONCEPTS.,1,1,and then secret sucks.,0,0
367,"Brokeback Mountain was incredibly depressing, I liked it, but it was quite depressing.",0,0,null,that's about nine ten was incredibly depressing i liked it but it was like depressing.,0,0,FOR THE BUT MOUNTAIN WAS INCREDIBLY DEPRESSING I LIKED IT BUT IT WAS QUITE DEPRESSING.,1,0,but the background and was incredibly depressing i liked it but it was quite depressing.,0,0
368,"The Thursday movie was Brokeback Mountain, which was actually really terrible.",0,0,0,it's very enemy was brought up mountain which was actually really terrible.,0,0,THE THURSDAY MOVIE WAS BROKEN OFF MOUNTAIN WHICH WAS ACTUALLY REALLY TERRIBLE.,1,0,thursday movie was broken by a man can which was actually really terrible.,0,0
369,thirdly-the da vinci code sucked..,0,0,0,you know i had dogs and she took sucked.,0,0,HE DIVED HEAD OF AN SECURED SUCKED.,1,0,he that i had of unsecured sucked.,0,0
370,I heard The da Vinci Code sucked.,0,1,0,i heard the job and she took it sucked.,0,0,I HEARD THE DA VINCI CONCEPT.,1,1,i heard the da vinci code sucked.,0,0
371,"Brokeback Mountain, Larry McMurtry & Diana Ossana-the book sucked, movie was way better, they had a lot of work to do..",0,1,0,that you bought mountain larry mcmurtrey diana's enough habits that movie was a better they had a work you do.,1,1,FOR THE BUT MOUNTAIN LARRY MC MURTRY DIANA ASENATH HAVE ACCEPT MOVIE WAS A BETTER THEY HAD A LOT OF WORK TO DO.,1,0,but the background and larry mcmurtry diana's on earth have accept movie was made that her they had a lot of work to do.,1,1
372,"I'll probably get murdered a thousand times over by everyone for saying it, but I hate Harry Potter.",0,0,0,they'll probably got hundreds of thousands times over by everyone for saying it but i hate harry potter.,1,0,THEY'LL PROBABLY GET MURDERED A THOUSAND TIMES OVER BY EVERYONE FOR SAYING IT BUT I HATE HARRY POTTER.,1,0,we'll probably get murdered a thousand times over by everyone for saying it but i hate harry potter.,0,0
373,"My sexy vintage silver tea infuser deal fell through, so instead I bought this crappy Harry Potter tea infuser that's shaped like a frog.",0,0,1,my sexy vintage silver changes surgical fell through so instead i bought this crappy harry potter games user thoughts shaped like a.,0,1,MY SEX EVEN TO SILVER GAIN FIERCER JAIL FELL THROUGH SO INSTEAD I BOUGHT THE SCRAPPY HARRY POVERTY IN FIERCE EARTH HUTS SHAPED LIKE A FROG.,1,0,my sexy vintage silva again to surgical fell for so instead i got this crappy harry potter again fiercer have shaped like a from.,0,1
374,"I don't understand how that pic is funny, but Harry Potter sucks anyways.",0,1,0,i don't understand how that could just funny but harry potter sex anyways.,1,1,I DON'T UNDERSTAND HOW THAT VITH HIS FUNNY BUT HARRY POTTER SEX ANYWAYS.,1,0,i don't understand found that it is funny but harry potter success anyways.,1,1
375,we watched horrible movies such as brokeback mountain and just my luck.,0,0,0,we watched harlem movies such as broken back mountain and just my left.,0,0,WE WATCHED HORRIBLE MOVIES SUCH AS BROKE ABOUT MOUNTAIN AND JUST MY LUCK.,1,0,we watched harmful movies such as brokeback mountain and just my luck.,1,0
376,MISSION IMPOSSIBLE III IS GOING TO SUCK BALLS!!!..,0,1,null,mission impossible even is going to suck balls.,0,0,MISSION IMPOSSIBLE YEA IS GOING TO SUCK BALLS.,1,0,mission impossible he is going to set balls.,1,0
377,"While we're on the topic, Harry Potter stinks.",0,0,0,i'm around the topics harry potter stinks.,0,0,WHILE ROUND THE TOPIC HARRY POTTER STINKS.,1,0,while and the top the harry potter stinks.,0,null
378,i HATE HATE HATE tom cruise and mission impossible movies but i think i may go see this new one cuz...,0,1,0,hey takes takes on prison mission impossible movies but i think i may go see this new one because.,1,0,I HATE HATE HATE ON FROZEN MISSION IMPOSSIBLE MOVIES BUT I THINK I MAY GO SEE THIS NEW UNCAS.,1,0,i hate take a tom cruise and mission impossible movies but i think i may go see this no one cares.,0,null
379,Mission impossible both the first and second sucked..,0,0,0,mission impossible those the first and second sucked.,0,0,MISSION IMPOSSIBLE BOTH THE FIRST AND SECOND SECT.,1,0,mission impossible the the first and second sept.,null,0
380,the Da Vinci Code suck ass..,0,1,null,and uh then she cuts i passed.,null,0,THE DA VINCI COULD SURPASS.,1,1,the da vinci code such past.,null,1
381,"God, anyway for anyone whos read this far the new Mission Impossible SUCKS!",0,1,0,but anyway for anyone has read this far the new mission impossible sucks.,0,null,BUT ANYWAY FOR ANYONE HAS READ THIS FAR THE NEW MISSION IMPOSSIBLE SUCKS.,1,0,than any way for anyone who has read this far the new mission impossible sites.,null,1
382,Mission Impossible 3 is so shitty a movie even Phillip Seymour Hoffman and Simon Pegg(,0,1,0,mission impossible serious so shooting a movie even sell it seem more hoffman and simon peg.,1,0,MISSION IMPOSSIBLE PHRASE SO SHOULD A MOVIE EVEN PHILIP SEYMOUR HOFFMANN AND SIMON PEG.,1,1,mission impossible three is socially a movie even phillips seymour hoffman and simon pegg.,1,1
383,"Man, Ultimate Marvel Harry Potter sucks...",0,0,0,and also not normal harry potter sucks.,0,0,AN ULTIMATE MARVEL HARRY POTTER SOCKS.,1,1,panels and that marvel harry potter sex.,1,1
384,which is probably why I disliked Brokeback Mountain...,0,1,0,which is probably why i just like a mountain.,null,1,WHICH IS PROBABLY WHY A DISLIKE BROKE ABOUT MOUNTAIN.,1,0,which is probably why i dislike for a few about mountain.,0,0
385, Brokeback Mountain  was extremely depressing.,0,0,0,<unk> unless extremely depressing.,null,0,FORGIVE OF MOUNTAIN WAS EXTREMELY DEPRESSING.,1,1,the background and was extremely depressing.,0,0
386,Harry Potter sucked hahahaha Im glad he got sent home but they all sucked I dont like 50's musicLove..,0,1,0,harry potter sets huh i'm glad he got sent some but they also i don't like five of these people that.,1,1,HARRY POTTER SECT HA I'M GLAD HE GOT SENT HOME BUT THEY ALSO IF I DON'T LIKE FIVE ORESTES THE FLOW OF EH.,1,0,harry potter said her hand glad he got sent home but they also i don't like five us me see full of air.,1,0
387,Since Mission Impossible is a piece of crap.,0,0,0,since mission impossible it piece of crap.,0,0,SINCE MISSION IMPOSSIBLE IS A PIECE OF CRAP.,1,null,since mission impossible is a piece of crap.,0,0
388,BROKEBACK MOUNTAIN IS HORRIBLE.,0,1,0,but you're not mountain is horrible.,0,0,FORGIVE A FOUNTAIN IS HORRIBLE.,1,0,president clinton is horrible.,0,0
389,I'm happy that the Da Vinci code sucks.,0,0,null,and happy that the job and she could sucks.,null,0,AND HAPPY THAT THE DA VINCI COULD SUCKS.,1,0,i'm happy that the da vinci code socks.,1,1
390,"Brokeback mountain is still depressing, I still have the van though the insurance runs out soon, the room is messy again after being clean.",0,0,0,but you're not mountain is still depressing i still have the vans of insurance friends outs in the room is missy again for being seen.,1,0,FOR THE BUT MOUNTAIN IS STILL DEPRESSING I STILL HAVE THE VAN THOUGH THE INSURANCE RUNS OUT SOON THE ROOM IS MISSY AGAIN WHERE BEING WHEN.,1,0,but the background and is still depressing i still have the van though the insurance turns out soon the room is messy again being green.,0,0
391,After that we decided to see Mission Impossible III which sucked a little bit.,0,0,0,after that we decided to seen mission impossible you know it's just a little bit.,0,1,AFTER THAT WE DECIDED TO SEE MISSION IMPOSSIBLE YEAR WHICH SOFA LITTLE OF IT.,1,0,after that we decided to see mission impossible year would suffer a little bit.,0,1
392,I hated Harry Potter.,0,0,0,i hated harry potter.,0,null,I HATED HARRY POTTER.,1,null,i hate that harry potter.,1,0
393,"I'm sorry I hate to read Harry Potter, but I love the movies!..",0,1,1,i'm sorry i hate to read harry potter but i love the movies.,1,0,IN SORRY I HATE TO READ HARRY POTTER BUT I LOVE THE MOVIES.,1,1,and sorry i hate to read harry potter but i love the movies.,1,1
394,"i hated the da vinci code, the movie witha passion, it was boring and made me sad that a movie blasphying the name of jesus is being played world wide.",0,null,0,i hated that i've been sick for the movie catfish and it was boring and made me sad that movie the less i mean the name of jesus as being a worldwide.,0,0,I HATED THE DA VINCI CLOVE THE MOVIE WITH HAVE FASHION IT WAS BARRING AND MADE ME SAID THAT IMMOVABLE OSSIFYING THE NAME OF GAZE AS OF BEING WHIRLED WIFE.,1,0,i hated the da vinci code the movie without question it was boring and made me sad that a movie vilifying the name of jesus of being the worldwide.,null,0
395,Harry Potter -- the other two suck.,0,null,0,harry potter that either choose that.,1,1,HARRY POTTER THE OTHER TWO SEC.,1,1,harry potter that their shoes said.,1,1
396, Or that awful  Goth twist on Brokeback Mountain  the  Shattered-Spine Emo-Mound of cow shit.,0,null,0,oh that's awful that's west under thirty bucks mountainous areas you name on the fashion.,null,null,OR THAT AWFUL BATH WHISTON BROKE ABOVE MOUNTAIN THIS VARIES THE NAME ON THE FASHION.,1,0,i had asked about twist on both the black man and his factories the name on the fao shit.,1,0
397,Brokeback Mountain is officially the most depressing movie I have seen in the last 6 months...,0,0,0,that's about nine ten is officially the most depressing movie i have seen in the last six months.,0,0,FOR THE BUT MOUNTAIN IS OFFICIALLY THE MOST DEPRESSING MOVIE I HAVE SEEN IN THE LAST SIX MONTHS.,1,0,i think that than ten is officially the most depressing movie i have seen in the last six months.,0,0
398,"meganpenworthy dressed as a character from Harry Potter and the Selfish Iron, though it looked more like Optimus Prime..",0,1,0,nineteen or is he dressed as the terrorists are from harry potter and the selfish iron though it looks more like of teams prime.,1,0,THE ONE THING OR IF HE DRESSED AS A CHARACTER FROM HARRY POTTER AND THE SELFISH IRON THOUGH IT LOOKED MORE LIKE OF DEMONS PRIME.,1,0,they then came word he dressed as a character from harry potter and the selfish iron though it looked more like a team's prime.,0,1
399,"and joan keeps telling me how brokeback mountain sucks so much, but everyone else liked it, so i think i'll go see it.",0,1,0,john keeps telling me how broke involvement in sex so much but everyone else like that so i think they'll go see it.,1,0,AND JOAN KEEPS TELLING ME HOW BROKE ABOVE MOUNTAINS OF SO MUCH BUT EVERY ONE ELSE LIKED IT SO I THINK THEY'LL GO SIT.,1,0,and chants telling me how robot mountains of so much but everyone else like that so i think they'll go see it.,1,1
